id,kode_pohon,nama_latin,nama_lokal,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,chart_link
75,MD0051,Palaquium spp.,Balam,Pohon Muda,icon/young_tree.svg,-,23,20,Hutan Desa Muara Dua,gambut,-,1.0402866,101.9891382,39.8705075,0.05,-,-,-,Indra Bakti Hamid,2021-09-21 13:48:00.000+07:00," Rp50,000 ",794.6,-,Chave (2005),media/MD75.jpg,media/1632201225370.jpg,media/1632201306116.jpg,media/1632201432381.jpg,adopsipohonriau/75
76,MD0058,Eugenia sp.,Jambu Jambu,Pohon Muda,icon/young_tree.svg,-,30,25,Hutan Desa Muara Dua,gambut,-,1.040544,101.9893258,40.79973521,0.05,-,-,-,Indra Bakti Hamid,2021-09-21 13:54:00.000+07:00," Rp50,000 ",1982.41,-,Chave (2005),media/MD76.jpg,media/1632205646327.jpg,media/1632205684979.jpg,media/1632205708511.jpg,adopsipohonriau/76
77,MD0059,Ficus vadana ,Ara,Pohon Muda,icon/young_tree.svg,-,26,15,Hutan Desa Muara Dua,gambut,-,1.0406328,101.9892415,39.69243847,0.05,-,-,-,Indra Bakti Hamid,2021-09-21 14:00:00.000+07:00," Rp50,000 ",542.34,-,Chave (2005),media/MD77.jpg,media/1632212519988.jpg,media/1632212548742.jpg,media/1632212575703.jpg,adopsipohonriau/77
80,MD0065,Palaquium spp.,Balam,Pohon Muda,icon/young_tree.svg,-,16,15,Hutan Desa Muara Dua,gambut,-,1.0404207,101.9890417,8.513374954,0.05,-,-,-,Indra Bakti Hamid,2021-09-21 14:20:00.000+07:00," Rp50,000 ",295.5,-,Chave (2005),media/MD80.jpg,media/1632119636444.jpg,media/1632119671644.jpg,media/1632119730078.jpg,adopsipohonriau/80
81,MD0068,-,Tempurung,Pohon Muda,icon/young_tree.svg,-,32,25,Hutan Desa Muara Dua,gambut,-,1.0406354,101.9888494,8.639525517,0.05,-,-,-,Indra Bakti Hamid,2021-09-21 14:26:00.000+07:00," Rp50,000 ",1659.91,-,Brown (1997),media/MD81.jpg,media/1632206140973.jpg,media/1632206164505.jpg,media/1632206241997.jpg,adopsipohonriau/81
82,MD0071,-,Tempurung,Pohon Muda,icon/young_tree.svg,-,14,11,Hutan Desa Muara Dua,gambut,-,1.0398909,101.9893165,0.58992639,0.05,-,-,-,Ferdinan,2021-09-21 14:39:00.000+07:00," Rp50,000 ",205,-,Brown (1997),media/MD82.jpg,media/1632206489475.jpg,media/1632206518163.jpg,media/1632206559337.jpg,adopsipohonriau/82
83,MD0072,Polyalthia lateriflora,Pisang Pisang,Pohon Muda,icon/young_tree.svg,-,14,10,Hutan Desa Muara Dua,gambut,-,1.0399952,101.9893029,16.11680902,0.05,-,-,-,Ferdinan,2021-09-21 14:45:00.000+07:00," Rp50,000 ",142.48,-,Chave (2005),media/MD83.jpg,media/1632214406709.jpg,media/1632214432626.jpg,media/1632214458363.jpg,adopsipohonriau/83
84,MD0074,Diospyros siamang,Arang Arang,Pohon Muda,icon/young_tree.svg,-,23,15,Hutan Desa Muara Dua,gambut,-,1.0372492,101.9903261,25.21924103,0.05,-,-,-,Indra Bakti Hamid,2021-09-21 15:22:00.000+07:00," Rp50,000 ",582.83,-,Chave (2005),media/MD84.jpg,media/1632206800046.jpg,media/1632206842732.jpg,media/1632206862246.jpg,adopsipohonriau/84
85,MD0078,Polyalthia lateriflora,Pisang Pisang,Pohon Muda,icon/young_tree.svg,-,15,12,Hutan Desa Muara Dua,gambut,-,1.037228,101.9900989,7.291709808,0.05,-,-,-,Indra Bakti Hamid,2021-09-21 15:28:00.000+07:00," Rp50,000 ",194.77,-,Chave (2005),media/MD85.jpg,media/1632207172121.jpg,media/1632207202670.jpg,media/1632207222642.jpg,adopsipohonriau/85
86,MD0073,Durio sp.,Durian,Pohon Muda,icon/young_tree.svg,-,17,18,Hutan Desa Muara Dua,gambut,-,1.0372521,101.9903218,-0.469671579,0.05,-,-,-,Indra Bakti Hamid,2021-09-21 15:18:00.000+07:00," Rp50,000 ",412.85,-,Chave (2005),media/MD86.jpg,media/1632207522758.jpg,media/1632207551685.jpg,media/1632207583953.jpg,adopsipohonriau/86
